text,label
getPlanid,0
addUser,0
equals,0
getCurrYearLast,0
getPermissionTree,0
doFilterInternal,0
lambda$ListToTree$0,0
rejectEquipment,0
passTicket,0
MultipartFileToFile,0
addTicket,0
passEquipment,0
getAllMessages,0
getAuthorities,1
updateRole,0
getAuthorities,1
getAnnouncements,0
getCurrYearFirst,0
pass,0
print,0
importUsers,0
resetFeedbackState,0
toString,0
getUserById,0
TreeToList,0
deleteFeedback,0
generateToken,0
changePassword,0
updateAnnouncement,0
getResolvedFeedback,0
reject,0
getUncheckedTickets,0
getTotal,0
isBetweenDates,0
getBudget,0
allotRole,0
removePermissionByRole,0
denyHandler,5
formatDate,0
addRolePermission,0
compareTo,0
getMessageById,0
configure,0
resetPassword,0
getPlanId,0
getRefusedTickets,0
validateToken,0
editPlan,0
resetFeedbackState,0
addRoleMenu,0
canTokenBeRefreshed,0
deleteAnnouncement,0
editPlan,0
getAllUsers,0
toString,0
updateUserById,0
addTicket,0
pass,0
getMonthlyAmount,0
getbyid,0
getMenus,0
getAllAnnouncements,0
getLastDay,0
getPlan,0
getMonthAmount,0
addEquipment,0
addWxTicket,0
editBudget,0
getUserList,0
getAnnouncement,0
ListToTree,0
setState,0
getCheckingTickets,0
getRejectedEquipment,0
getYearFirst,0
addUser,0
MenuListToTree,0
getRatio,0
loginFail,0
getEquipment,0
resetPassword,0
addPlan,0
getRatio,0
compareTo,0
tokenRefresh,0
upload,0
getUnresolvedFeedback,0
getRoles,0
deletePlan,0
refreshUserToken,0
getImageUrl,0
getUserByUsername,0
hasPermission,2
toString,0
getPassedEquipment,0
deleteBudget,0
getUsername,0
addAttachment,0
denyHandler,5
getFirstDay,0
getRole,0
getTicketById,0
login,0
getWxCheckedTicketByWorkNumber,0
refreshToken,0
authorizedHandler,3
isTokenExpired,0
deleteTicketById,0
refuse,0
refuseTicket,0
getWaitEquipment,0
editBudget,0
addequip,0
addRole,0
deleteRole,0
addFeedback,0
getYearLast,0
addAnnouncement,0
userLogin,0
getAuthorities,1
getPermissionList,0
loginSuccess,0
setState,0
configure,0
authorizedHandler,3
hashCode,0
getplanbyid,0
getPassedTickets,0
addBudget,0
getFeedback,0
lambda$MenuListToTree$1,0
deleteUserById,0
allotPermissions,0
setTicketDate,0
getWxUncheckedTicketByWorkNumber,0
