text,label
run,0
newIdleStateEvent,0
main,0
getAllIdleTimeInMillis,0
main,0
test2,0
initChannel,0
<clinit>,0
initialize,0
disconnect,3
lambda$main$0,0
main,0
operationComplete,0
main,0
initChannel,0
userEventTriggered,0
run,0
lambda$main$1,0
<init>,0
lambda$main$2,0
channelRead,0
<clinit>,0
<clinit>,0
main,0
main,0
main,0
getWriterIdleTimeInMillis,0
channelActive,0
values,0
main,0
channelIdle,0
connactAck,1
operationComplete,0
main,0
<clinit>,0
read,0
run,0
channelReadComplete,0
listen,0
handler,0
getReaderIdleTimeInMillis,0
sendMsg,0
initChannel,0
connactAck,1
isConnacting,2
updateAckTime,4
main,0
run,0
exceptionCaught,0
initChannel,0
userEventTriggered,0
<clinit>,0
channelRead,0
main,0
channelRead,0
run,0
channelActive,0
run,0
updateAckTime,4
exceptionCaught,0
main,0
readMsg,0
main,0
initOutputChanged,0
sysoTst,0
<init>,0
test1,0
sendMsg,0
hasOutputChanged,0
disconnect,3
isConnacting,2
