text,label
removeConnectionSpecFromCurrentThread,0
lambda$transactional$4,0
setCurrentTransactionIsolationLevel,0
releaseSavepoint,0
setTransactionAttributeSource,0
readObject,0
lambda$null$2,0
afterCompletion,0
lambda$processCommit$24,0
bindToThread,0
rollbackOnException,0
isNewTransaction,0
doBegin,0
toString,0
handleExistingTransaction,0
isExistingTransaction,0
findTransactionAttribute,0
doSuspend,0
hashCode,0
createTransactionIfNecessary,0
failService,3
hashCode,0
extractOutputData,0
lambda$null$12,0
registerSynchronization,0
lambda$null$9,0
setConnectionFactory,0
readObject,0
getObjectType,0
<init>,0
lambda$handleExistingTransaction$10,0
execute,0
beforeCommit,0
rollbackOn,0
commit,0
doSuspend,0
execute,0
setConnectionFactory,0
lambda$null$2,0
getResource,0
lambda$doRollbackOnCommitException$32,0
<init>,0
doJtaResume,0
getTransactionAttribute,0
<init>,0
setProperties,0
createMappedRecord,0
clear,0
<init>,0
rollbackTransaction,4
invoke,0
readObject,0
beforeDelivery,0
obtainConnectionFactory,0
doCommit,0
initConnection,0
invokeWithinTransaction,0
doGetTransaction,0
lambda$rollbackOnException$9,0
completeTransactionAfterThrowing,0
lambda$doSuspendSynchronization$17,0
lambda$doResumeSynchronization$19,0
commitTransactionAfterReturning,0
setAsText,0
addTransactionalMethod,0
equals,0
rollbackOnException,0
setIsolationLevelName,0
doUnbindResource,0
doSetRollbackOnly,0
setTransactionManager,0
createSavepoint,0
invokeAfterCommit,0
checkUserTransactionAndTransactionManager,0
setTransactionAttributes,0
equals,0
getSavepointManager,0
getEndpointClassLoader,0
test,0
equals,0
doRegisterAfterCompletionWithJtaTransaction,0
getCloseSuppressingConnectionProxy,0
startWork,0
prepareTransactionStatus,0
getConnection,0
initSynchronization,0
setActualTransactionActive,0
equals,0
triggerBeforeCommit,0
getOriginalException,0
lookupDefaultUowManager,0
<init>,0
triggerAfterCommit,0
invokeWithinTransaction,0
toString,0
prepareTransactionInfo,0
afterPropertiesSet,0
getObject,0
lambda$completeTransactionAfterThrowing$13,0
lambda$processCommit$21,0
doParse,0
getMetaData,0
access$100,0
doGetConnection,0
lambda$afterCompletion$0,0
<init>,0
isRollbackOnly,0
getConnection,0
triggerBeforeCommit,0
lambda$null$4,0
resumeAfterBeginException,0
triggerBeforeCompletion,0
processRollback,0
getOrder,0
toString,0
setActualTransactionActive,0
doExecute,0
rollbackToHeldSavepoint,0
computeTransactionAttribute,0
<init>,0
doWork,0
doSuspend,0
lambda$suspend$15,0
invoke,0
isNewTransaction,0
determineTransactionAspectClass,0
invoke,0
flush,0
lambda$null$1,0
createApplicationContext,0
shouldReleaseAfterCompletion,0
triggerBeforeCompletion,0
setConnectionSpecForCurrentThread,0
lambda$processRollback$28,0
createAndHoldSavepoint,0
isCurrentTransactionReadOnly,0
<init>,0
transactional,0
parseTransactionAnnotation,0
objectResult,0
<init>,0
lookupUowManager,0
afterPropertiesSet,0
getConnection,0
afterPropertiesSet,0
obtainTargetConnectionFactory,0
lambda$null$6,0
beforeCompletion,0
setCurrentTransactionName,0
initUserTransactionAndTransactionManager,0
afterPropertiesSet,0
isCurrentTransactionReadOnly,0
getReference,0
registerAfterCompletionWithExistingTransaction,0
loadBeanDefinitions,0
doSetRollbackOnly,0
doBegin,0
doSuspend,0
lambda$null$5,0
postProcessBeanFactory,0
values,0
lambda$doRollbackOnCommitException$31,0
toString,0
lambda$null$13,0
adaptExceptionIfNecessary,0
writeObject,0
getConnection,0
doCreateConnection,0
resumeAfterBeginException,0
setReference,0
run,0
isConnectionTransactional,0
commitTransaction,5
<init>,0
afterPropertiesSet,0
sameResourceFactory,0
doGetConnection,0
start,0
test,0
write,0
transactionInterceptor,0
getRecordFactory,0
detectPersistenceExceptionTranslators,0
invoke,0
doRollback,0
doSuspendSynchronization,0
resume,0
equals,0
getDefinitionDescription,0
matches,0
doResume,0
setCurrentTransactionReadOnly,0
addTransactionalMethod,0
releaseHeldSavepoint,0
doGetResource,0
methodIdentification,0
getTransactionAttribute,0
execute,0
lambda$null$3,0
<clinit>,0
doUnbindResource,0
createTransaction,0
doCleanupAfterCompletion,0
obtainConnectionFactory,0
setIsolationLevel,0
hashCode,0
<init>,0
rollbackTransaction,4
values,0
