text,label
bindingNotify - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.CustomExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$GenericExchangeRoutingKeyConfigurer:with  org.springframework.amqp.core.BindingBuilder$GenericArgumentsConfigurer:noargs],0
delayQueueA - [] - org.springframework.amqp.core.Queue - [org.springframework.amqp.core.QueueBuilder:withArguments  org.springframework.amqp.core.QueueBuilder:build],0
delayQueueB - [] - org.springframework.amqp.core.Queue - [org.springframework.amqp.core.QueueBuilder:withArguments  org.springframework.amqp.core.QueueBuilder:build],0
delayQueueC - [] - org.springframework.amqp.core.Queue - [org.springframework.amqp.core.QueueBuilder:withArguments  org.springframework.amqp.core.QueueBuilder:build],0
delayBindingA - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
delayBindingB - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
delayBindingC - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
deadLetterBindingA - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
deadLetterBindingB - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
deadLetterBindingC - [org.springframework.amqp.core.Queue  org.springframework.amqp.core.DirectExchange] - org.springframework.amqp.core.Binding - [org.springframework.amqp.core.BindingBuilder$DestinationConfigurer:to  org.springframework.amqp.core.BindingBuilder$DirectExchangeRoutingKeyConfigurer:with],0
values - [] - com.mfrank.delayqueuedemo.constants.DelayTypeEnum[] - [com.mfrank.delayqueuedemo.constants.DelayTypeEnum[]:clone],0
getDelayTypeEnumByValue - [java.lang.Integer] - com.mfrank.delayqueuedemo.constants.DelayTypeEnum - [com.mfrank.delayqueuedemo.constants.DelayTypeEnum:getCode  java.lang.Integer:equals],0
sendMsg - [java.lang.String  java.lang.Integer] - void - [com.mfrank.delayqueuedemo.mq.DelayMessageSender:sendMsg],1
delayMsg - [java.lang.String  java.lang.Integer] - void - [com.mfrank.delayqueuedemo.mq.DelayMessageSender:sendMsg],0
delayMsg2 - [java.lang.String  java.lang.Integer] - void - [com.mfrank.delayqueuedemo.mq.DelayMessageSender:sendDelayMsg],0
receiveA - [org.springframework.amqp.core.Message  com.rabbitmq.client.Channel] - void - [org.springframework.amqp.core.Message:getBody  java.util.Date:toString  org.springframework.amqp.core.Message:getMessageProperties  org.springframework.amqp.core.MessageProperties:getDeliveryTag],2
receiveB - [org.springframework.amqp.core.Message  com.rabbitmq.client.Channel] - void - [org.springframework.amqp.core.Message:getBody  java.util.Date:toString  org.springframework.amqp.core.Message:getMessageProperties  org.springframework.amqp.core.MessageProperties:getDeliveryTag],2
receiveC - [org.springframework.amqp.core.Message  com.rabbitmq.client.Channel] - void - [org.springframework.amqp.core.Message:getBody  java.util.Date:toString  org.springframework.amqp.core.Message:getMessageProperties  org.springframework.amqp.core.MessageProperties:getDeliveryTag],2
