text,label
<init> - [java.lang.String] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.io.PrintStream:println  Account:getBalance],0
getBranchID - [java.lang.String] - java.lang.String - [java.lang.String:length  java.lang.String:substring],0
equals - [java.lang.Object] - boolean - [java.lang.String:equals],0
hashCode - [] - int - [java.lang.String:hashCode],0
run - [] - void - [ATMGUI:setVisible],0
run - [] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.io.PrintStream:println  java.net.DatagramSocket:setSoTimeout  java.net.DatagramSocket:receive  java.io.PrintStream:println  ATMGUI:ProcessPacket  java.io.PrintStream:println  java.net.DatagramSocket:close],0
isAccount - [java.lang.String] - boolean - [java.util.regex.Pattern:matcher  java.util.regex.Matcher:matches],0
<init> - [] - void - [java.lang.String:equals  javax.swing.JTextField:setText  java.lang.String:equals  javax.swing.JTextField:setText  java.lang.String:equals  javax.swing.JTextField:setText  javax.swing.JTextField:getText  java.lang.Thread:start],0
initComponents - [] - void - [ATMGUI:setDefaultCloseOperation  ATMGUI:setTitle  javax.swing.JLabel:setFont  javax.swing.JLabel:setForeground  javax.swing.JLabel:setText  javax.swing.JLabel:setFont  javax.swing.JLabel:setForeground  javax.swing.JLabel:setText  javax.swing.JButton:setText  javax.swing.JButton:addActionListener  javax.swing.JButton:setText  javax.swing.JButton:addActionListener  javax.swing.JButton:setText  javax.swing.JButton:addActionListener  javax.swing.JButton:setText  javax.swing.JButton:addActionListener  javax.swing.JTextField:setCursor  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JLabel:setText  javax.swing.JPanel:setBorder  javax.swing.JLabel:setText  javax.swing.JTextField:setText  javax.swing.JLabel:setText  javax.swing.JTextField:setText  javax.swing.JLabel:setText  javax.swing.JTextField:setText  javax.swing.JPanel:setLayout  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setHorizontalGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setVerticalGroup  javax.swing.JPanel:setBorder  javax.swing.JButton:setText  javax.swing.JButton:addActionListener  javax.swing.JPanel:setLayout  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setHorizontalGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setVerticalGroup  ATMGUI:getContentPane  ATMGUI:getContentPane  java.awt.Container:setLayout  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setHorizontalGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addContainerGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout:createParallelGroup  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:createSequentialGroup  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$SequentialGroup:addPreferredGap  javax.swing.GroupLayout$SequentialGroup:addComponent  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGroup  javax.swing.GroupLayout$SequentialGroup:addGap  javax.swing.GroupLayout$ParallelGroup:addGroup  javax.swing.GroupLayout:setVerticalGroup  ATMGUI:pack],0
DepositBtnActionPerformed - [java.awt.event.ActionEvent] - void - [javax.swing.JTextField:getText  javax.swing.JTextField:getText  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  javax.swing.JTextField:getText  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  javax.swing.JTextField:getText  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.lang.String:getBytes  javax.swing.JTextField:getText  javax.swing.JTextField:getText  java.net.DatagramSocket:send  java.net.DatagramPacket:getData  java.net.DatagramPacket:getLength  java.net.DatagramSocket:close],0
