text,label
<init> - [java.lang.String  java.lang.String] - void - [javax.naming.InitialContext:lookup  javax.naming.InitialContext:lookup],0
onMessage - [javax.jms.Message] - void - [java.io.PrintStream:println  java.lang.String:equalsIgnoreCase  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.io.PrintStream:println  java.io.PrintStream:println  javax.jms.JMSException:printStackTrace],2
exit - [] - void - [java.io.PrintStream:println],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println],0
<init> - [] - void - [javax.naming.InitialContext:lookup  javax.naming.InitialContext:lookup],0
onMessage - [javax.jms.Message] - void - [java.lang.String:equalsIgnoreCase  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println  javax.jms.JMSException:printStackTrace],2
exit - [] - void - [java.io.PrintStream:println],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println  java.io.PrintStream:println  java.io.PrintStream:println],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println],0
dumm - [] - void - [java.io.PrintStream:println],0
<init> - [] - void - [javax.naming.InitialContext:lookup  javax.naming.InitialContext:lookup],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println],0
sendHeartBeat - [] - void - [java.io.PrintStream:println  java.util.Random:nextInt  java.io.PrintStream:println  heartbeat.WeatherRadar:close  heartbeat.WeatherRadar:writeMsg],1
<init> - [] - void - [javax.naming.InitialContext:lookup  javax.naming.InitialContext:lookup],0
main - [java.lang.String[]] - void - [java.io.PrintStream:println],0
sendHeartBeat - [] - void - [java.io.PrintStream:println  java.util.Random:nextInt  java.io.PrintStream:println  heartbeat.WeatherRadarBackup:close  heartbeat.WeatherRadarBackup:writeMsg],1
refreshUpdateTime - [java.lang.String] - long - [java.util.concurrent.atomic.AtomicLong:getAndSet],4
logRequest - [com.alipay.sofa.registry.remoting.Channel  java.lang.Object] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractClientHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractClientHandler:log],2
getRequestBody - [] - com.alipay.sofa.registry.common.model.metaserver.GetNodesRequest - [com.alipay.sofa.registry.server.session.node.AbstractNodeManager:getNodeType  com.alipay.sofa.registry.server.session.node.AbstractNodeManager$1:getRequestBody],2
getRequestUrl - [] - com.alipay.sofa.registry.common.model.store.URL - [com.alipay.sofa.registry.server.session.node.RaftClientManager:getLeader  com.alipay.sofa.jraft.entity.PeerId:getIp],2
getRequestBody - [] - java.lang.Object - [com.alipay.sofa.registry.server.session.node.AbstractNodeManager:getNodeType  com.alipay.sofa.registry.server.session.node.AbstractNodeManager$1:getRequestBody],2
updateNodes - [com.alipay.sofa.registry.common.model.metaserver.NodeChangeResult] - void - [com.alipay.sofa.registry.common.model.metaserver.NodeChangeResult:getNodes  com.alipay.sofa.registry.common.model.metaserver.NodeChangeResult:getLocalDataCenter  com.alipay.sofa.registry.common.model.metaserver.NodeChangeResult:getVersion  java.util.concurrent.ConcurrentHashMap:putIfAbsent],4
logRequest - [com.alipay.sofa.registry.remoting.Channel  java.lang.Object] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log],2
logRequest - [com.alipay.sofa.registry.remoting.Channel  java.lang.Object] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log],2
logRequest - [com.alipay.sofa.registry.remoting.Channel  java.lang.Object] - void - [java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:append  java.lang.StringBuilder:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log  java.lang.Object:toString  com.alipay.sofa.registry.server.data.remoting.handler.AbstractServerHandler:log],2
requestWorkItem - [] - java.util.concurrent.BlockingQueue - [java.util.concurrent.Semaphore:release],2
requestWorkItems - [] - java.util.concurrent.BlockingQueue - [java.util.concurrent.Semaphore:release],2
handleRequest - [com.alipay.remoting.BizContext  com.alipay.remoting.AsyncContext  java.lang.Object] - void - [com.alipay.sofa.registry.remoting.bolt.BoltChannel:setAsyncContext  com.alipay.sofa.registry.remoting.bolt.BoltChannel:setConnection],2
getRequestUrl - [] - com.alipay.sofa.registry.common.model.store.URL - [com.alipay.sofa.registry.server.session.node.RaftClientManager:getLeader  com.alipay.sofa.jraft.entity.PeerId:getIp],2
getRequestBody - [] - java.lang.Object - [com.alipay.sofa.registry.server.session.filter.blacklist.BlacklistManagerImpl$1:getRequestBody],2
